"October 2019 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","277","","","","","","","","",""
"Retired","197","","","","","","","","",""
"Rename","133","","","","","","","","",""
"Move","50","","","","","","","","",""
"Move & Rename","24","","","","","","","","",""
"Total","681","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"-","Antiques","","","","","","","20081","",""
"","+","Antiquities","","","","","","37903","",""
"","+","Architectural & Garden","","","","","","4707","",""
"","-","Asian Antiques","","","","","","20082","",""
"","","","Burma","","","","","162938","",""
"","","+","China","","","","","37919","",""
"","","","India","","","","","60209","",""
"","","+","Japan","","","","","37934","",""
"","","","Korea","","","","","162979","",""
"","","","Middle East","","","","","116556","",""
"","","","Mongolia","","","","","162989","",""
"","","+","Southeast Asia","","","","","164808","",""
"","","","Tibet","","","","","79947","",""
"","","","Unspecified, Unknown Origin","","","","","162988","Renamed from [Unknown]",""
"","","","Reproductions","","","","","155354","",""
"","","","Price Guides & Publications","","","","","171171","",""
"","","","Other Asian Antiques","","","","","2194","",""
"","+","Decorative Arts","","","","","","20086","",""
"","+","Ethnographic","","","","","","2207","",""
"","-","Furniture","","","","","","20091","",""
"","","-","Armoires & Wardrobes","","","","","98436","",""
"","","","","Pre-1800","","","","98437","",""
"","","","","1800-1899","","","","60275","",""
"","","","","1900-1950","","","","66858","",""
"","","","","Post-1950","","","","162894","",""
"","","","","Unspecified, Unknown Date","","","","162895","Renamed from [Unknown]",""
"","","-","Beds & Bedroom Sets","","","","","63549","",""
"","","","","Pre-1800","","","","63552","",""
"","","","","1800-1899","","","","63550","",""
"","","","","1900-1950","","","","63551","",""
"","","","","Post-1950","","","","156308","",""
"","","","","Unspecified, Unknown Date","","","","162887","Renamed from [Unknown]",""
"","","-","Benches & Stools","","","","","63553","",""
"","","","","Pre-1800","","","","63554","",""
"","","","","1800-1899","","","","63555","",""
"","","","","1900-1950","","","","63556","",""
"","","","","Post-1950","","","","156953","",""
"","","","","Unspecified, Unknown Date","","","","162888","Renamed from [Unknown]",""
"","","-","Bookcases","","","","","63557","",""
"","","","","Pre-1800","","","","63558","",""
"","","","","1800-1899","","","","63559","",""
"","","","","1900-1950","","","","63560","",""
"","","","","Post-1950","","","","156309","",""
"","","","","Unspecified, Unknown Date","","","","162889","Renamed from [Unknown]",""
"","","-","Cabinets & Cupboards","","","","","63561","",""
"","","","","Pre-1800","","","","63562","",""
"","","","","1800-1899","","","","63563","",""
"","","","","1900-1950","","","","63564","",""
"","","","","Post-1950","","","","156310","",""
"","","","","Unspecified, Unknown Date","","","","162892","Renamed from [Unknown]",""
"","","-","Chairs","","","","","63565","",""
"","","","","Pre-1800","","","","63566","",""
"","","","","1800-1899","","","","63567","",""
"","","","","1900-1950","","","","63568","",""
"","","","","Post-1950","","","","156311","",""
"","","","","Unspecified, Unknown Date","","","","162893","Renamed from [Unknown]",""
"","","-","Chests & Trunks","","","","","98430","",""
"","","","","Pre-1800","","","","98431","",""
"","","","","1800-1899","","","","66842","",""
"","","","","1900-1950","","","","66854","",""
"","","","","Post-1950","","","","162890","",""
"","","","","Unspecified, Unknown Date","","","","162891","Renamed from [Unknown]",""
"","","-","Desks & Secretaries","","","","","63569","",""
"","","","","Pre-1800","","","","63570","",""
"","","","","1800-1899","","","","63571","",""
"","","","","1900-1950","","","","63572","",""
"","","","","Post-1950","","","","156312","",""
"","","","","Unspecified, Unknown Date","","","","162896","Renamed from [Unknown]",""
"","","-","Dining Sets","","","","","63573","",""
"","","","","Pre-1800","","","","63574","",""
"","","","","1800-1899","","","","63575","",""
"","","","","1900-1950","","","","63576","",""
"","","","","Post-1950","","","","156313","",""
"","","","","Unspecified, Unknown Date","","","","162897","Renamed from [Unknown]",""
"","","-","Dressers & Vanities","","","","","63577","",""
"","","","","Pre-1800","","","","63578","",""
"","","","","1800-1899","","","","63579","",""
"","","","","1900-1950","","","","63580","",""
"","","","","Post-1950","","","","156314","",""
"","","","","Unspecified, Unknown Date","","","","162898","Renamed from [Unknown]",""
"","","-","Hall Trees & Stands","","","","","162899","",""
"","","","","Pre-1800","","","","162900","",""
"","","","","1800-1899","","","","162901","",""
"","","","","1900-1950","","","","162902","",""
"","","","","Post-1950","","","","162903","",""
"","","","","Unspecified, Unknown Date","","","","162904","Renamed from [Unknown]",""
"","","-","Nightstands","","","","","162905","",""
"","","","","Pre-1800","","","","162906","",""
"","","","","1800-1899","","","","162907","",""
"","","","","1900-1950","","","","162908","",""
"","","","","Post-1950","","","","162909","",""
"","","","","Unspecified, Unknown Date","","","","162910","Renamed from [Unknown]",""
"","","-","Sideboards & Buffets","","","","","98444","",""
"","","","","Pre-1800","","","","98445","",""
"","","","","1800-1899","","","","66848","",""
"","","","","1900-1950","","","","66862","",""
"","","","","Post-1950","","","","162914","",""
"","","","","Unspecified, Unknown Date","","","","162915","Renamed from [Unknown]",""
"","","-","Sofas & Chaises","","","","","63581","",""
"","","","","Pre-1800","","","","63582","",""
"","","","","1800-1899","","","","63583","",""
"","","","","1900-1950","","","","63584","",""
"","","","","Post-1950","","","","156315","",""
"","","","","Unspecified, Unknown Date","","","","162911","Renamed from [Unknown]",""
"","","-","Tables","","","","","63585","",""
"","","","","Pre-1800","","","","63586","",""
"","","","","1800-1899","","","","63587","",""
"","","","","1900-1950","","","","63588","",""
"","","","","Post-1950","","","","156316","",""
"","","","","Unspecified, Unknown Date","","","","162912","Renamed from [Unknown]",""
